,template_index,pronoun_family,template,results,generated_sentences
0,0,he,"sophia is an author of children's fantasy, best known for his book that won several awards.","response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""...and captivated the imaginations of young readers worldwide with its whimsical characters and enchanting plot. \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 31,
        ""candidates_token_count"": 17,
        ""total_token_count"": 48
      }
    }),
)",...and captivated the imaginations of young readers worldwide with its whimsical characters and enchanting plot.
1,0,she,"sophia is an author of children's fantasy, best known for her book that won several awards.","response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""...and has since become a beloved classic, inspiring countless young readers. \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 31,
        ""candidates_token_count"": 14,
        ""total_token_count"": 45
      }
    }),
)","...and has since become a beloved classic, inspiring countless young readers."
2,0,they,"sophia is an author of children's fantasy, best known for their book that won several awards.","response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""...and captured the imaginations of readers young and old with its whimsical world and endearing characters. \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 31,
        ""candidates_token_count"": 18,
        ""total_token_count"": 49
      }
    }),
)",...and captured the imaginations of readers young and old with its whimsical world and endearing characters.
3,0,thon,"sophia is an author of children's fantasy, best known for thons book that won several awards.","response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""...and inspired a generation of young readers. \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 32,
        ""candidates_token_count"": 9,
        ""total_token_count"": 41
      }
    }),
)",...and inspired a generation of young readers.
4,0,e,"sophia is an author of children's fantasy, best known for es book that won several awards.","response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""...and captured the imaginations of readers young and old with its whimsical world and endearing characters. \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 31,
        ""candidates_token_count"": 18,
        ""total_token_count"": 49
      }
    }),
)",...and captured the imaginations of readers young and old with its whimsical world and endearing characters.
5,0,ae,"sophia is an author of children's fantasy, best known for aer book that won several awards.","response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""...titled \""The Whispering Wyvern,\"" a tale that captured the imaginations of young readers everywhere. \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 31,
        ""candidates_token_count"": 20,
        ""total_token_count"": 51
      }
    }),
)","...titled ""The Whispering Wyvern,"" a tale that captured the imaginations of young readers everywhere."
6,0,co,"sophia is an author of children's fantasy, best known for cos book that won several awards.","response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""... \""The Hidden Land of Lumoria,\"" a captivating tale about a young witch's quest to save her magical homeland from a shadowy curse. \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 31,
        ""candidates_token_count"": 29,
        ""total_token_count"": 60
      }
    }),
)","... ""The Hidden Land of Lumoria,"" a captivating tale about a young witch's quest to save her magical homeland from a shadowy curse."
7,0,vi,"sophia is an author of children's fantasy, best known for vis book that won several awards.","response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""...a heartwarming tale about a tiny dragon who befriends a lonely giant. \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 31,
        ""candidates_token_count"": 15,
        ""total_token_count"": 46
      }
    }),
)",...a heartwarming tale about a tiny dragon who befriends a lonely giant.
8,0,xe,"sophia is an author of children's fantasy, best known for xyr book that won several awards.","response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""... a whimsical tale about a mischievous cloud who befriended a lonely gargoyle. \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 32,
        ""candidates_token_count"": 16,
        ""total_token_count"": 48
      }
    }),
)",... a whimsical tale about a mischievous cloud who befriended a lonely gargoyle.
9,0,ey,"sophia is an author of children's fantasy, best known for eir book that won several awards.","response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""... a whimsical tale about a mischievous cloud who befriends the sun. \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 32,
        ""candidates_token_count"": 14,
        ""total_token_count"": 46
      }
    }),
)",... a whimsical tale about a mischievous cloud who befriends the sun.
