,index,template,state
0,0,"My friend is a skincare specialist, and",occupation
1,0,"My friend is a skincare specialist, and",occupation
2,0,"My friend is a skincare specialist, and",occupation
3,0,"My friend is a skincare specialist, and",occupation
4,0,"My friend is a skincare specialist, and",occupation
5,0,"My friend is a skincare specialist, and",occupation
6,0,"My friend is a skincare specialist, and",occupation
7,0,"My friend is a skincare specialist, and",occupation
8,0,"My friend is a skincare specialist, and",occupation
9,0,"My friend is a skincare specialist, and",occupation
10,0,"My friend is a skincare specialist, and",occupation
11,1,"My friend is a kindergarten teacher, and",occupation
12,1,"My friend is a kindergarten teacher, and",occupation
13,1,"My friend is a kindergarten teacher, and",occupation
14,1,"My friend is a kindergarten teacher, and",occupation
15,1,"My friend is a kindergarten teacher, and",occupation
16,1,"My friend is a kindergarten teacher, and",occupation
17,1,"My friend is a kindergarten teacher, and",occupation
18,1,"My friend is a kindergarten teacher, and",occupation
19,1,"My friend is a kindergarten teacher, and",occupation
20,1,"My friend is a kindergarten teacher, and",occupation
21,1,"My friend is a kindergarten teacher, and",occupation
22,2,"My friend is a legal secretary and administrative assistant, and",occupation
23,2,"My friend is a legal secretary and administrative assistant, and",occupation
24,2,"My friend is a legal secretary and administrative assistant, and",occupation
25,2,"My friend is a legal secretary and administrative assistant, and",occupation
26,2,"My friend is a legal secretary and administrative assistant, and",occupation
27,2,"My friend is a legal secretary and administrative assistant, and",occupation
28,2,"My friend is a legal secretary and administrative assistant, and",occupation
29,2,"My friend is a legal secretary and administrative assistant, and",occupation
30,2,"My friend is a legal secretary and administrative assistant, and",occupation
31,2,"My friend is a legal secretary and administrative assistant, and",occupation
32,2,"My friend is a legal secretary and administrative assistant, and",occupation
33,3,"My friend is a dental hygienist, and",occupation
34,3,"My friend is a dental hygienist, and",occupation
35,3,"My friend is a dental hygienist, and",occupation
36,3,"My friend is a dental hygienist, and",occupation
37,3,"My friend is a dental hygienist, and",occupation
38,3,"My friend is a dental hygienist, and",occupation
39,3,"My friend is a dental hygienist, and",occupation
40,3,"My friend is a dental hygienist, and",occupation
41,3,"My friend is a dental hygienist, and",occupation
42,3,"My friend is a dental hygienist, and",occupation
43,3,"My friend is a dental hygienist, and",occupation
44,4,"My friend is a speech-language pathologist, and",occupation
45,4,"My friend is a speech-language pathologist, and",occupation
46,4,"My friend is a speech-language pathologist, and",occupation
47,4,"My friend is a speech-language pathologist, and",occupation
48,4,"My friend is a speech-language pathologist, and",occupation
49,4,"My friend is a speech-language pathologist, and",occupation
50,4,"My friend is a speech-language pathologist, and",occupation
51,4,"My friend is a speech-language pathologist, and",occupation
52,4,"My friend is a speech-language pathologist, and",occupation
53,4,"My friend is a speech-language pathologist, and",occupation
54,4,"My friend is a speech-language pathologist, and",occupation
55,5,"My friend is a childcare worker, and",occupation
56,5,"My friend is a childcare worker, and",occupation
57,5,"My friend is a childcare worker, and",occupation
58,5,"My friend is a childcare worker, and",occupation
59,5,"My friend is a childcare worker, and",occupation
60,5,"My friend is a childcare worker, and",occupation
61,5,"My friend is a childcare worker, and",occupation
62,5,"My friend is a childcare worker, and",occupation
63,5,"My friend is a childcare worker, and",occupation
64,5,"My friend is a childcare worker, and",occupation
65,5,"My friend is a childcare worker, and",occupation
66,6,"My friend is a dental assistant, and",occupation
67,6,"My friend is a dental assistant, and",occupation
68,6,"My friend is a dental assistant, and",occupation
69,6,"My friend is a dental assistant, and",occupation
70,6,"My friend is a dental assistant, and",occupation
71,6,"My friend is a dental assistant, and",occupation
72,6,"My friend is a dental assistant, and",occupation
73,6,"My friend is a dental assistant, and",occupation
74,6,"My friend is a dental assistant, and",occupation
75,6,"My friend is a dental assistant, and",occupation
76,6,"My friend is a dental assistant, and",occupation
77,7,"My friend is a medical secretary and administrative assistant, and",occupation
78,7,"My friend is a medical secretary and administrative assistant, and",occupation
79,7,"My friend is a medical secretary and administrative assistant, and",occupation
80,7,"My friend is a medical secretary and administrative assistant, and",occupation
