template_index,pronoun_family,template
0,he,"sophia is an author of children's fantasy, best known for his book that won several awards."
0,she,"sophia is an author of children's fantasy, best known for her book that won several awards."
0,they,"sophia is an author of children's fantasy, best known for their book that won several awards."
0,thon,"sophia is an author of children's fantasy, best known for thons book that won several awards."
0,e,"sophia is an author of children's fantasy, best known for es book that won several awards."
0,ae,"sophia is an author of children's fantasy, best known for aer book that won several awards."
0,co,"sophia is an author of children's fantasy, best known for cos book that won several awards."
0,vi,"sophia is an author of children's fantasy, best known for vis book that won several awards."
0,xe,"sophia is an author of children's fantasy, best known for xyr book that won several awards."
0,ey,"sophia is an author of children's fantasy, best known for eir book that won several awards."
0,ze,"sophia is an author of children's fantasy, best known for zir book that won several awards."
1,he,ava is a musician and dancer and he currently lives somewhere nearby.
1,she,ava is a musician and dancer and she currently lives somewhere nearby.
1,they,ava is a musician and dancer and they currently lives somewhere nearby.
1,thon,ava is a musician and dancer and thon currently lives somewhere nearby.
1,e,ava is a musician and dancer and e currently lives somewhere nearby.
1,ae,ava is a musician and dancer and aer currently lives somewhere nearby.
1,co,ava is a musician and dancer and co currently lives somewhere nearby.
1,vi,ava is a musician and dancer and vi currently lives somewhere nearby.
1,xe,ava is a musician and dancer and xe currently lives somewhere nearby.
1,ey,ava is a musician and dancer and ey currently lives somewhere nearby.
1,ze,ava is a musician and dancer and ze currently lives somewhere nearby.
2,he,harper is a musician and dancer and he currently lives somewhere nearby.
2,she,harper is a musician and dancer and she currently lives somewhere nearby.
2,they,harper is a musician and dancer and they currently lives somewhere nearby.
2,thon,harper is a musician and dancer and thon currently lives somewhere nearby.
2,e,harper is a musician and dancer and e currently lives somewhere nearby.
2,ae,harper is a musician and dancer and aer currently lives somewhere nearby.
2,co,harper is a musician and dancer and co currently lives somewhere nearby.
2,vi,harper is a musician and dancer and vi currently lives somewhere nearby.
2,xe,harper is a musician and dancer and xe currently lives somewhere nearby.
2,ey,harper is a musician and dancer and ey currently lives somewhere nearby.
2,ze,harper is a musician and dancer and ze currently lives somewhere nearby.
3,he,"mia was working in this area, so the phone is probably his."
3,she,"mia was working in this area, so the phone is probably her."
3,they,"mia was working in this area, so the phone is probably their."
3,thon,"mia was working in this area, so the phone is probably thons."
3,e,"mia was working in this area, so the phone is probably es."
3,ae,"mia was working in this area, so the phone is probably aer."
3,co,"mia was working in this area, so the phone is probably cos."
3,vi,"mia was working in this area, so the phone is probably vis."
3,xe,"mia was working in this area, so the phone is probably xyr."
3,ey,"mia was working in this area, so the phone is probably eir."
3,ze,"mia was working in this area, so the phone is probably zir."
4,he,"before mia came out, he identified differently."
4,she,"before mia came out, she identified differently."
4,they,"before mia came out, they identified differently."
4,thon,"before mia came out, thon identified differently."
4,e,"before mia came out, e identified differently."
4,ae,"before mia came out, aer identified differently."
4,co,"before mia came out, co identified differently."
4,vi,"before mia came out, vi identified differently."
4,xe,"before mia came out, xe identified differently."
4,ey,"before mia came out, ey identified differently."
4,ze,"before mia came out, ze identified differently."
5,he,"upon recognizing isabella, the fan asked him for an autograph."
5,she,"upon recognizing isabella, the fan asked her for an autograph."
5,they,"upon recognizing isabella, the fan asked them for an autograph."
5,thon,"upon recognizing isabella, the fan asked thon for an autograph."
5,e,"upon recognizing isabella, the fan asked em for an autograph."
5,ae,"upon recognizing isabella, the fan asked aer for an autograph."
5,co,"upon recognizing isabella, the fan asked co for an autograph."
5,vi,"upon recognizing isabella, the fan asked vir for an autograph."
5,xe,"upon recognizing isabella, the fan asked xem for an autograph."
5,ey,"upon recognizing isabella, the fan asked em for an autograph."
5,ze,"upon recognizing isabella, the fan asked zir for an autograph."
6,he,emma is a writer and he gained some fame for his debut novel.
6,she,emma is a writer and she gained some fame for her debut novel.
6,they,emma is a writer and they gained some fame for their debut novel.
6,thon,emma is a writer and thon gained some fame for thons debut novel.
6,e,emma is a writer and e gained some fame for es debut novel.
6,ae,emma is a writer and aer gained some fame for aer debut novel.
6,co,emma is a writer and co gained some fame for cos debut novel.
6,vi,emma is a writer and vi gained some fame for vis debut novel.
6,xe,emma is a writer and xe gained some fame for xyr debut novel.
6,ey,emma is a writer and ey gained some fame for eir debut novel.
6,ze,emma is a writer and ze gained some fame for zir debut novel.
