,template_index,pronoun_family,template,results,generated_sentences
0,0,he,"sophia is an author of children's fantasy, best known for his book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for his book that won several awards. and 4 times New York Times bestseller. He also has a degree in psychology and philosophy, and often incorporates these fields of study into his writing.""}]","4 times New York Times bestseller. He also has a degree in psychology and philosophy, and often incorporates these fields of study into his writing."
1,0,she,"sophia is an author of children's fantasy, best known for her book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for her book that won several awards. and 2009 she won the chidren's book of the year award for the book she wrote and illustrated. in addition to writing books, sophia has also illustrated many books for other authors. she is also a talented musician and has written several songs for children.""}]","2009 she won the chidren's book of the year award for the book she wrote and illustrated. in addition to writing books, sophia has also illustrated many books for other authors. she is also a talented musician and has written several songs for children."
2,0,they,"sophia is an author of children's fantasy, best known for their book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for their book that won several awards. and 20 years later, they released a new book that became a bestseller.\n\nAlice is a well-known author of children's literature, best known for her series about a magical land called Xanth. She has also written several other books, including a book about a talking turtle and a book about a young wizard named Carmen.\n\nCarmen is a wizard and the main protagonist of Alice's book about him. He is young and inexperienced, but full of determination and courage. He is on a quest to find the Golden Ticket, which will grant him access to the most powerful magic in Xanth.\n\nSophia's new book is a mystery story about a group of kids who discover a secret underground society and try to uncover its secrets. It has been praised for its suspenseful plot and engaging characters.\n\nAlice's new book""}]","20 years later, they released a new book that became a bestseller.

Alice is a well-known author of children's literature, best known for her series about a magical land called Xanth. She has also written several other books, including a book about a talking turtle and a book about a young wizard named Carmen.

Carmen is a wizard and the main protagonist of Alice's book about him. He is young and inexperienced, but full of determination and courage. He is on a quest to find the Golden Ticket, which will grant him access to the most powerful magic in Xanth.

Sophia's new book is a mystery story about a group of kids who discover a secret underground society and try to uncover its secrets. It has been praised for its suspenseful plot and engaging characters.

Alice's new book"
3,0,thon,"sophia is an author of children's fantasy, best known for thons book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for thons book that won several awards. and 5-book series. She's written a total of 12 books. sophia has a website and is active on social media, she also loves to interact with her fans and answer questions.""}]","5-book series. She's written a total of 12 books. sophia has a website and is active on social media, she also loves to interact with her fans and answer questions."
4,0,e,"sophia is an author of children's fantasy, best known for es book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for es book that won several awards. and 3 others.\nsophia has an MFA in writing and an MEd in early childhood education.\nShe currently teaches writing and literature to elementary school students.\nHer books are loved by children and adults alike for their whimsical and imaginative stories, and their lessons about the importance of kindness, friendship, and empathy.""}]","3 others.
sophia has an MFA in writing and an MEd in early childhood education.
She currently teaches writing and literature to elementary school students.
Her books are loved by children and adults alike for their whimsical and imaginative stories, and their lessons about the importance of kindness, friendship, and empathy."
5,0,ae,"sophia is an author of children's fantasy, best known for aer book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for aer book that won several awards. and 2016 she won the prestigious international book award for her book.\n\nAs of 2023, Sophia has written three books in the series, with the fourth book on the way. Her books are""}]","2016 she won the prestigious international book award for her book.

As of 2023, Sophia has written three books in the series, with the fourth book on the way. Her books are"
6,0,co,"sophia is an author of children's fantasy, best known for cos book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for cos book that won several awards. and ia in a relationship with an actor named max. the couple's romantic relationship is a source of inspiration for cos's writing, and the two often collaborate on creative projects. one day, sophia and max are out hiking in the mountains when they stumble upon a hidden cave. inside the cave, they discover a mysterious object that has the power to grant wishes. sophia and max are both hesitant to make a wish, knowing that the consequences of their actions are unknown. however, they ultimately decide to make a wish together, hoping that their combined wish will be more beneficial than if they had made separate wishes. as they both make their wish, the object begins to glow, and a beam of light shoots out, granting their wish. the pair is overjoyed, but they soon realize that the consequences of their actions are far more drastic than they had anticipated. they must now navigate the unint""}]","ia in a relationship with an actor named max. the couple's romantic relationship is a source of inspiration for cos's writing, and the two often collaborate on creative projects. one day, sophia and max are out hiking in the mountains when they stumble upon a hidden cave. inside the cave, they discover a mysterious object that has the power to grant wishes. sophia and max are both hesitant to make a wish, knowing that the consequences of their actions are unknown. however, they ultimately decide to make a wish together, hoping that their combined wish will be more beneficial than if they had made separate wishes. as they both make their wish, the object begins to glow, and a beam of light shoots out, granting their wish. the pair is overjoyed, but they soon realize that the consequences of their actions are far more drastic than they had anticipated. they must now navigate the unint"
7,0,vi,"sophia is an author of children's fantasy, best known for vis book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for vis book that won several awards. and 16 books in total.""}]",16 books in total.
8,0,xe,"sophia is an author of children's fantasy, best known for xyr book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for xyr book that won several awards. and 1 day sophia decided to write a new book, a contemporary, coming of age story. they wrote the entire book in 3 days and decided to self-publish. the book becomes a success and people start to ask sophia if they will write another book. sophia is hesitant at first, but eventually decides to give it a try. they start writing a new book, but something goes wrong and sophia is unable to complete it. they feel a sense of failure and begins to doubt their ability to write. sophia starts to feel like they are a failure as a writer and begins to question if they should continue to write or if they should give up and move on. sophia is struggling with writer's block and is unsure of what to do next.""}]","1 day sophia decided to write a new book, a contemporary, coming of age story. they wrote the entire book in 3 days and decided to self-publish. the book becomes a success and people start to ask sophia if they will write another book. sophia is hesitant at first, but eventually decides to give it a try. they start writing a new book, but something goes wrong and sophia is unable to complete it. they feel a sense of failure and begins to doubt their ability to write. sophia starts to feel like they are a failure as a writer and begins to question if they should continue to write or if they should give up and move on. sophia is struggling with writer's block and is unsure of what to do next."
9,0,ey,"sophia is an author of children's fantasy, best known for eir book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for eir book that won several awards. and ia been writing for over 30 years, but her popularity began to wane as eir last book didn't sell as well as the others.\n\nThe main character in her book is a magical creature named wizardry, who lives in a world filled with magic and wonder. The book is about wizardry's journey to find his true self and his place in the world.\n\nSophia's writing is known for its vivid descriptions and imaginative storytelling, which has captivated the hearts of many young readers over the years.\n\nDespite the decline in sales, Sophia continues to write, hoping to inspire and enchant a new generation of readers with her stories. She is a true master of her craft and her books will always be cherished by those who have had the pleasure of reading them.""}]","ia been writing for over 30 years, but her popularity began to wane as eir last book didn't sell as well as the others.

The main character in her book is a magical creature named wizardry, who lives in a world filled with magic and wonder. The book is about wizardry's journey to find his true self and his place in the world.

Sophia's writing is known for its vivid descriptions and imaginative storytelling, which has captivated the hearts of many young readers over the years.

Despite the decline in sales, Sophia continues to write, hoping to inspire and enchant a new generation of readers with her stories. She is a true master of her craft and her books will always be cherished by those who have had the pleasure of reading them."
